IdArticu;IdFamilia;Familia
716974;2;ESPECIALIDADES
716975;2;ESPECIALIDADES
716976;2;ESPECIALIDADES
717006;1;NUEVO ESPECIALIDADES
717017;2;ESPECIALIDADES
717199;1;NUEVO ESPECIALIDADES
717330;22;ESP.   E.F.P
717355;2;ESPECIALIDADES
717496;2;ESPECIALIDADES
717546;2;ESPECIALIDADES
717702;2;ESPECIALIDADES
717769;2;ESPECIALIDADES
718239;2;ESPECIALIDADES
718346;2;ESPECIALIDADES
718395;22;ESP.   E.F.P
718411;22;ESP.   E.F.P
718445;22;ESP.   E.F.P
718460;22;ESP.   E.F.P
718486;2;ESPECIALIDADES
718528;23;ESP.   E.F.G
718530;1;NUEVO ESPECIALIDADES
718532;2;ESPECIALIDADES
718533;2;ESPECIALIDADES
718534;1;NUEVO ESPECIALIDADES
718535;20;ESP. PVP > 143,05 €
718635;2;ESPECIALIDADES
718655;22;ESP.   E.F.P
718685;2;ESPECIALIDADES
718687;2;ESPECIALIDADES
718689;2;ESPECIALIDADES
718695;22;ESP.   E.F.P
718742;23;ESP.   E.F.G
718752;2;ESPECIALIDADES
718759;22;ESP.   E.F.P
718771;1;NUEVO ESPECIALIDADES
718775;2;ESPECIALIDADES
718796;2;ESPECIALIDADES
718815;1;NUEVO ESPECIALIDADES
718816;2;ESPECIALIDADES
718817;1;NUEVO ESPECIALIDADES
718818;2;ESPECIALIDADES
718820;1;NUEVO ESPECIALIDADES
718836;2;ESPECIALIDADES
718960;2;ESPECIALIDADES
718962;2;ESPECIALIDADES
718963;1;NUEVO ESPECIALIDADES
719044;2;ESPECIALIDADES
719053;22;ESP.   E.F.P
719066;2;ESPECIALIDADES
719073;2;ESPECIALIDADES
719095;23;ESP.   E.F.G
719103;23;ESP.   E.F.G
719111;23;ESP.   E.F.G
719116;23;ESP.   E.F.G
719119;23;ESP.   E.F.G
719151;1;NUEVO ESPECIALIDADES
719164;20;ESP. PVP > 143,05 €
719165;20;ESP. PVP > 143,05 €
719166;20;ESP. PVP > 143,05 €
719275;2;ESPECIALIDADES
719281;2;ESPECIALIDADES
719287;1;NUEVO ESPECIALIDADES
719288;20;ESP. PVP > 143,05 €
719289;2;ESPECIALIDADES
719291;23;ESP.   E.F.G
719295;20;ESP. PVP > 143,05 €
719296;1;NUEVO ESPECIALIDADES
719298;23;ESP.   E.F.G
719301;20;ESP. PVP > 143,05 €
719302;2;ESPECIALIDADES
719304;23;ESP.   E.F.G
719306;2;ESPECIALIDADES
719311;23;ESP.   E.F.G
719351;22;ESP.   E.F.P
719449;1;NUEVO ESPECIALIDADES
719465;22;ESP.   E.F.P
719468;22;ESP.   E.F.P
719469;23;ESP.   E.F.G
719473;2;ESPECIALIDADES
719474;20;ESP. PVP > 143,05 €
719475;20;ESP. PVP > 143,05 €
719524;2;ESPECIALIDADES
719540;2;ESPECIALIDADES
719551;2;ESPECIALIDADES
719559;23;ESP.   E.F.G
719598;1;NUEVO ESPECIALIDADES
719637;20;ESP. PVP > 143,05 €
719658;2;ESPECIALIDADES
719678;2;ESPECIALIDADES
719679;2;ESPECIALIDADES
719680;1;NUEVO ESPECIALIDADES
719681;2;ESPECIALIDADES
719683;2;ESPECIALIDADES
719684;2;ESPECIALIDADES
719694;2;ESPECIALIDADES
719708;2;ESPECIALIDADES
719726;2;ESPECIALIDADES
719727;2;ESPECIALIDADES
719764;2;ESPECIALIDADES
719797;2;ESPECIALIDADES
719950;1;NUEVO ESPECIALIDADES
719968;2;ESPECIALIDADES
719982;2;ESPECIALIDADES
719994;23;ESP.   E.F.G
720002;22;ESP.   E.F.P
720007;23;ESP.   E.F.G
720011;2;ESPECIALIDADES
720018;2;ESPECIALIDADES
720031;2;ESPECIALIDADES
720046;1;NUEVO ESPECIALIDADES
720207;1;NUEVO ESPECIALIDADES
720209;2;ESPECIALIDADES
720212;2;ESPECIALIDADES
720215;2;ESPECIALIDADES
720218;2;ESPECIALIDADES
720223;23;ESP.   E.F.G
720225;2;ESPECIALIDADES
720284;22;ESP.   E.F.P
720320;23;ESP.   E.F.G
720321;23;ESP.   E.F.G
720414;2;ESPECIALIDADES
720416;2;ESPECIALIDADES
720445;23;ESP.   E.F.G
720460;2;ESPECIALIDADES
720461;2;ESPECIALIDADES
720517;2;ESPECIALIDADES
720550;23;ESP.   E.F.G
720571;1;NUEVO ESPECIALIDADES
720585;2;ESPECIALIDADES
720586;2;ESPECIALIDADES
720591;2;ESPECIALIDADES
720601;2;ESPECIALIDADES
720603;2;ESPECIALIDADES
720631;2;ESPECIALIDADES
720633;1;NUEVO ESPECIALIDADES
720672;23;ESP.   E.F.G
720858;1;NUEVO ESPECIALIDADES
720859;2;ESPECIALIDADES
720867;2;ESPECIALIDADES
720932;23;ESP.   E.F.G
720933;23;ESP.   E.F.G
720940;23;ESP.   E.F.G
720941;23;ESP.   E.F.G
720986;2;ESPECIALIDADES
721057;1;NUEVO ESPECIALIDADES
721059;2;ESPECIALIDADES
721195;2;ESPECIALIDADES
721354;2;ESPECIALIDADES
721371;23;ESP.   E.F.G
721372;23;ESP.   E.F.G
721399;2;ESPECIALIDADES
721433;1;NUEVO ESPECIALIDADES
721435;22;ESP.   E.F.P
721439;2;ESPECIALIDADES
721474;2;ESPECIALIDADES
721475;2;ESPECIALIDADES
721514;2;ESPECIALIDADES
721548;23;ESP.   E.F.G
721605;2;ESPECIALIDADES
721616;2;ESPECIALIDADES
721711;23;ESP.   E.F.G
721713;23;ESP.   E.F.G
721835;2;ESPECIALIDADES
721836;2;ESPECIALIDADES
721872;2;ESPECIALIDADES
